user_id,date,transaction_type,category,amount,payment_mode,location,notes,transaction_number
U124,2022-12-28,Expense,Rent,967.0,Card,Kolkata,Salary,13560
U011,2022-12-28,Expense,Rent,486.0,Cash,Lucknow,Course fee,3229
U049,2022-12-28,Income,Salary,50117.0,Cash,Delhi,Salary via app,9080
U041,2022-12-28,Expense,Utilities,969.0,Cash,Lucknow,Salary,8721
U117,2022-12-28,Expense,Food,6410.0,Card,Kolkata,Grocery shopping,5909
U129,2022-12-28,Expense,Food,377.0,UPI,Chennai,Paid electricity bill late,11185
U120,2022-12-28,Expense,Travel,1896.0,UPI,Lucknow,Gift,929
U156,2022-12-28,Income,Bonus,55281.0,Cash,Lucknow,Gift via app,10385
U143,2022-12-28,Expense,Food,247.0,UPI,Lucknow,Monthly rent,6950
U128,2022-12-27,Expense,Health,351.0,Bank Transfer,Lucknow,,907
U103,2022-12-27,Expense,Savings,1486.0,Cash,Delhi,Paid electricity bill,12596
U124,2022-12-27,Income,Bonus,69399.0,UPI,Jaipur,Monthly rent,3617
U130,2022-12-27,Expense,Travel,1064.0,Cash,Jaipur,Dinner at resto,12203
U112,2022-12-27,Expense,Rent,1471.0,UPI,Lucknow,Paid electricity bill,5897
U003,2022-12-27,Expense,Food,3562.0,Cash,Delhi,,11857
U099,2022-12-27,Expense,Savings,1865.0,Card,Hyderabad,Dinner at resto cash,13327
U036,2022-12-27,Expense,Rent,731.0,UPI,Lucknow,,6222
U018,2022-12-26,Expense,Others,85.0,Bank Transfer,Kolkata,Dinner at resto,1544
U120,2022-12-26,Expense,Utilities,1079.0,Cash,Delhi,Netflix subscription,9903
U002,2022-12-26,Income,Bonus,67253.0,Card,Hyderabad,Grocery shopping,3311
U178,2022-12-26,Income,Bonus,36702.0,Card,Hyderabad,Netflix subscription via app,1235
U104,2022-12-25,Expense,Food,467.0,Cash,Bengaluru,Dinner at resto,14317
U191,2022-12-25,Expense,Utilities,249.0,Card,Chennai,Netflix subscription,10984
U041,2022-12-25,Expense,Entertainment,2013.0,UPI,Lucknow,Doctor visit,10362
U175,2022-12-25,Expense,Education,69.0,UPI,Mumbai,Paid electricity bill,2755
U145,2022-12-25,Expense,Rent,155.0,Cash,Pune,Netflix subscription,9187
U117,2022-12-25,Expense,Travel,791.0,UPI,Kolkata,Paid electricity bill,12337
U133,2022-12-25,Expense,Food,594.0,Cash,Bengaluru,Netflix subscription,14796
U092,2022-12-25,Expense,Rent,365.0,Card,Bengaluru,Gift,12017
U086,2022-12-24,Income,Other Income,81228.0,Bank Transfer,Pune,Netflix subscription,10431
U165,2022-12-24,Expense,Entertainment,178.0,UPI,Lucknow,Monthly rent late,9420
U140,2022-12-24,Expense,Food,52.0,Bank Transfer,Chennai,Grocery shopping,2863
U144,2022-12-24,Expense,Utilities,135.0,Cash,Lucknow,,4073
U042,2022-12-24,Expense,Food,3539.0,Bank Transfer,Chennai,Monthly rent,2784
U168,2022-12-24,Expense,Savings,939.0,Cash,Pune,Uber to office,4659
U094,2022-12-24,Expense,Others,309.0,Cash,Mumbai,,6185
U010,2022-12-24,Expense,Food,3482.0,UPI,Hyderabad,Paid electricity bill,12380
U144,2022-12-24,Expense,Others,123.0,UPI,Jaipur,Dinner at resto,2546
U124,2022-12-24,Expense,Rent,653.0,Card,Lucknow,Course fee,6831
U085,2022-12-24,Expense,Rent,151.0,UPI,Bengaluru,Gift,13199
U041,2022-12-23,Expense,Rent,1342.0,Cash,Hyderabad,Uber to office,8078
U187,2022-12-23,Expense,Rent,92.0,Card,Jaipur,Paid electricity bill,10317
U068,2022-12-23,Expense,Others,313.0,Card,Ahmedabad,,8533
U030,2022-12-23,Expense,Others,132.0,Card,Lucknow,Grocery shopping late,14865
U109,2022-12-23,Expense,Rent,697.0,Card,Chennai,,2946
U020,2022-12-23,Income,Bonus,59626.0,Cash,Ahmedabad,Doctor visit,9157
U147,2022-12-23,Expense,Entertainment,355.0,Bank Transfer,Delhi,Course fee,4375
U186,2022-12-23,Expense,Education,778.0,Card,Chennai,Doctor visit,4952
U071,2022-12-23,Expense,Food,375.0,Cash,Hyderabad,,7642
U160,2022-12-23,Expense,Education,331.0,Card,Kolkata,Monthly rent via app,4176
U120,2022-12-23,Expense,Rent,1751.0,Bank Transfer,Pune,Grocery shopping,10360
U017,2022-12-23,Income,Other Income,40706.0,Cash,Kolkata,Uber to office cash,1651
U079,2022-12-23,Expense,Food,1823.0,Card,Delhi,Uber to office,11888
U179,2022-12-23,Expense,Food,95.0,Cash,Ahmedabad,,10124
U080,2022-12-22,Expense,Food,2814.0,Cash,Pune,Salary,11687
U062,2022-12-22,Expense,Rent,2485.0,Card,Bengaluru,Grocery shopping,8100
U085,2022-12-22,Expense,Entertainment,395.0,Bank Transfer,Jaipur,Monthly rent,1140
U013,2022-12-22,Expense,Food,956.0,UPI,Ahmedabad,Gift,7533
U161,2022-12-22,Income,Salary,78428.0,Card,Chennai,Gift,10840
U041,2022-12-22,Income,Other Income,84389.0,Bank Transfer,Pune,Gift,11021
U078,2022-12-22,Expense,Food,858.0,Card,Jaipur,Grocery shopping,4373
U144,2022-12-21,Expense,Savings,114.0,Bank Transfer,Hyderabad,Course fee,13569
U046,2022-12-21,Expense,Rent,511.0,UPI,Jaipur,Monthly rent late,798
U031,2022-12-21,Income,Salary,60723.0,Cash,Kolkata,Paid electricity bill,2360
U034,2022-12-21,Expense,Rent,816.0,Cash,Mumbai,Course fee,6276
U071,2022-12-21,Expense,Travel,828.0,Bank Transfer,Pune,Dinner at resto,4836
U039,2022-12-21,Expense,Food,1094.0,Cash,Lucknow,Paid electricity bill,8849
U086,2022-12-21,Expense,Rent,970.0,UPI,Hyderabad,Uber to office,1453
U058,2022-12-20,Expense,Rent,104.0,Cash,Hyderabad,Uber to office,7945
U068,2022-12-20,Expense,Food,270.0,Card,Jaipur,Gift,10132
U024,2022-12-20,Expense,Utilities,1007.0,UPI,Mumbai,Paid electricity bill,11427
U141,2022-12-20,Expense,Food,164.0,UPI,Jaipur,Grocery shopping,9391
U129,2022-12-20,Expense,Rent,599.0,UPI,Delhi,Dinner at resto,7606
U004,2022-12-20,Expense,Entertainment,2906.0,Card,Delhi,,9752
U080,2022-12-20,Expense,Food,307.0,UPI,Jaipur,Dinner at resto,13671
U003,2022-12-20,Expense,Entertainment,171.0,Cash,Ahmedabad,Uber to office,13499
U034,2022-12-20,Expense,Entertainment,246.0,Card,Lucknow,Monthly rent,10059
U116,2022-12-19,Expense,Food,6444.0,Cash,Delhi,Netflix subscription,6807
U022,2022-12-19,Expense,Entertainment,3245.0,Bank Transfer,Kolkata,Monthly rent,5977
U126,2022-12-19,Income,Other Income,66491.0,UPI,Chennai,Doctor visit,940
U125,2022-12-19,Expense,Food,521.0,Card,Ahmedabad,Salary,2474
U173,2022-12-19,Expense,Utilities,279.0,UPI,Bengaluru,Salary via app,7232
U153,2022-12-19,Expense,Education,43.0,UPI,Bengaluru,Doctor visit,6737
U159,2022-12-19,Income,Salary,36058.0,Card,Hyderabad,Netflix subscription,3142
U175,2022-12-19,Expense,Travel,123.0,Bank Transfer,Hyderabad,Doctor visit,1780
U053,2022-12-19,Expense,Utilities,206.0,Cash,Pune,Paid electricity bill,2309
U079,2022-12-18,Income,Bonus,55318.0,Cash,Bengaluru,Monthly rent cash,8139
U078,2022-12-18,Income,Salary,30957.0,Bank Transfer,Hyderabad,,11085
U056,2022-12-18,Expense,Rent,239.0,Bank Transfer,Kolkata,Netflix subscription cash,2218
U121,2022-12-18,Expense,Food,831.0,Card,Chennai,,13092
U013,2022-12-18,Expense,Rent,68.0,Cash,Lucknow,Netflix subscription,8226
U181,2022-12-18,Expense,Rent,508.0,Cash,Mumbai,Paid electricity bill,1521
U018,2022-12-18,Expense,Rent,71.0,Card,Jaipur,Netflix subscription,11349
U043,2022-12-17,Expense,Utilities,3383.0,UPI,Hyderabad,Dinner at resto,11524
U166,2022-12-17,Income,Salary,70839.0,Cash,Kolkata,Salary,14168
U010,2022-12-17,Expense,Rent,3849.0,UPI,Jaipur,,9179
U173,2022-12-17,Expense,Entertainment,409.0,UPI,Pune,,2312
U064,2022-12-17,Expense,Travel,2049.0,Card,Mumbai,Gift,7911
U187,2022-12-17,Expense,Rent,86.0,Bank Transfer,Mumbai,Course fee cash,3297
U118,2022-12-17,Income,Bonus,57505.0,Cash,Mumbai,Paid electricity bill,2378
U076,2022-12-17,Expense,Food,503.0,Card,Kolkata,Paid electricity bill,7573
U125,2022-12-17,Expense,Food,84.0,UPI,Kolkata,Doctor visit,538
U010,2022-12-16,Income,Salary,47510.0,UPI,Ahmedabad,Monthly rent,14176
U127,2022-12-16,Expense,Education,414.0,Cash,Pune,Salary,1111
U173,2022-12-16,Expense,Food,209.0,Cash,Bengaluru,,7703
U020,2022-12-16,Expense,Travel,351.0,Bank Transfer,Mumbai,,3456
U120,2022-12-16,Expense,Food,4688.0,Cash,Hyderabad,Netflix subscription late,6240
U076,2022-12-16,Expense,Rent,231.0,Cash,Delhi,Course fee,6688
U142,2022-12-16,Income,Salary,63909.0,Cash,Bengaluru,Gift,13021
U160,2022-12-16,Expense,Food,72.0,UPI,Bengaluru,Uber to office cash,3656
U190,2022-12-16,Expense,Food,198.0,Card,Hyderabad,Gift,9695
U056,2022-12-16,Expense,Food,606.0,Bank Transfer,Jaipur,Paid electricity bill cash,8984
U100,2022-12-16,Expense,Utilities,1185.0,Cash,Ahmedabad,Salary,7894
U147,2022-12-15,Expense,Others,279.0,UPI,Ahmedabad,Salary,12501
U133,2022-12-15,Expense,Food,1403.0,Cash,Jaipur,Monthly rent,2509
U142,2022-12-15,Expense,Utilities,621.0,Bank Transfer,Lucknow,,13481
U048,2022-12-15,Expense,Utilities,555.0,Card,Hyderabad,Salary,6478
U147,2022-12-14,Expense,Food,369.0,UPI,Delhi,,14806
U179,2022-12-14,Expense,Food,169.0,Bank Transfer,Ahmedabad,Course fee,13607
U191,2022-12-14,Expense,Others,1231.0,UPI,Mumbai,Monthly rent,4062
U153,2022-12-14,Expense,Entertainment,101.0,Bank Transfer,Pune,Netflix subscription,5362
U156,2022-12-14,Expense,Food,96.0,Card,Mumbai,Uber to office,10234
U140,2022-12-14,Expense,Rent,185.0,UPI,Mumbai,Gift,3772
U055,2022-12-14,Expense,Entertainment,111.0,Bank Transfer,Hyderabad,,5401
U094,2022-12-14,Expense,Rent,44.0,UPI,Ahmedabad,Grocery shopping,3344
U077,2022-12-14,Expense,Education,134.0,Card,Kolkata,Paid electricity bill via app,11904
U085,2022-12-14,Expense,Savings,612.0,Cash,Pune,Dinner at resto,840
U185,2022-12-14,Expense,Food,505.0,Cash,Mumbai,Netflix subscription,3299
U012,2022-12-14,Expense,Food,21.0,Card,Chennai,Netflix subscription,9921
U138,2022-12-13,Expense,Rent,457.0,UPI,Mumbai,Gift,4299
U044,2022-12-13,Expense,Food,85.0,Card,Ahmedabad,Salary,6579
U128,2022-12-13,Expense,Food,168.0,UPI,Kolkata,Course fee,12770
U047,2022-12-13,Income,Salary,94390.0,Card,Chennai,Salary via app,4047
U173,2022-12-13,Expense,Rent,175.0,Bank Transfer,Pune,,9311
U003,2022-12-13,Expense,Entertainment,74.0,Bank Transfer,Pune,,6845
U149,2022-12-13,Expense,Rent,366.0,Bank Transfer,Chennai,,9823
U170,2022-12-12,Expense,Rent,1016.0,UPI,Jaipur,Doctor visit cash,3102
U069,2022-12-12,Expense,Rent,899.0,UPI,Chennai,Uber to office,13898
U034,2022-12-12,Expense,Rent,493.0,Cash,Lucknow,Monthly rent late,11121
U188,2022-12-12,Expense,Utilities,46.0,Card,Ahmedabad,Netflix subscription cash,5783
U017,2022-12-12,Expense,Utilities,584.0,Cash,Kolkata,Grocery shopping via app,6612
U131,2022-12-12,Income,Salary,99502.0,Cash,Bengaluru,Grocery shopping,2222
U030,2022-12-12,Expense,Health,1066.0,Bank Transfer,Kolkata,Gift,10605
U173,2022-12-11,Expense,Utilities,56.0,Cash,Kolkata,Salary via app,11894
U188,2022-12-11,Expense,Food,89.0,Cash,Delhi,Doctor visit,3753
U140,2022-12-11,Expense,Food,45.0,UPI,Pune,Uber to office,3155
U112,2022-12-11,Expense,Travel,386.0,Card,Mumbai,,7562
U123,2022-12-11,Expense,Food,1425.0,Bank Transfer,Delhi,Course fee via app,14133
U067,2022-12-11,Income,Bonus,25419.0,Cash,Kolkata,Doctor visit,11447
U182,2022-12-10,Income,Bonus,61814.0,Cash,Pune,Uber to office via app,7366
U191,2022-12-10,Expense,Others,415.0,Bank Transfer,Hyderabad,Course fee,13691
U142,2022-12-10,Expense,Travel,912.0,UPI,Kolkata,Gift,13866
U184,2022-12-10,Income,Bonus,78295.0,Card,Bengaluru,Course fee via app,6619
U156,2022-12-10,Expense,Utilities,343.0,Cash,Bengaluru,Dinner at resto,12613
U051,2022-12-10,Income,Salary,53533.0,UPI,Jaipur,Grocery shopping,13300
U061,2022-12-10,Expense,Entertainment,356.0,Bank Transfer,Ahmedabad,Doctor visit late,6300
U152,2022-12-09,Expense,Rent,404.0,UPI,Mumbai,Course fee late,9390
U117,2022-12-09,Income,Bonus,78083.0,UPI,Ahmedabad,Salary,5797
U005,2022-12-09,Expense,Travel,1020.0,UPI,Bengaluru,Monthly rent,12085
U158,2022-12-09,Expense,Entertainment,14.0,Card,Jaipur,Uber to office,675
U124,2022-12-09,Income,Salary,49899.0,Cash,Kolkata,,8838
U063,2022-12-08,Expense,Food,2812.0,Card,Bengaluru,,11410
U063,2022-12-08,Expense,Utilities,944.0,Bank Transfer,Pune,Dinner at resto late,2241
U018,2022-12-08,Expense,Utilities,114.0,Card,Bengaluru,Gift,9109
U012,2022-12-08,Expense,Food,937.0,Cash,Bengaluru,Monthly rent,14683
U040,2022-12-08,Expense,Entertainment,513.0,Card,Hyderabad,Paid electricity bill,744
U142,2022-12-08,Expense,Travel,103.0,Card,Chennai,Dinner at resto,894
U001,2022-12-08,Expense,Rent,161.0,Card,Lucknow,Salary,5195
U006,2022-12-08,Income,Bonus,63349.0,Cash,Lucknow,Monthly rent,7600
U095,2022-12-08,Expense,Others,433.0,Card,Pune,,3490
U183,2022-12-08,Expense,Rent,263.0,Bank Transfer,Kolkata,Netflix subscription,14153
U188,2022-12-07,Expense,Entertainment,208.0,UPI,Hyderabad,Monthly rent,4246
U097,2022-12-07,Expense,Others,169.0,Bank Transfer,Jaipur,Course fee,7609
U026,2022-12-07,Expense,Travel,43.0,Bank Transfer,Chennai,Grocery shopping cash,11792
U192,2022-12-07,Expense,Entertainment,490.0,Cash,Kolkata,Salary,52
U139,2022-12-07,Expense,Rent,1309.0,Bank Transfer,Ahmedabad,,9875
U172,2022-12-07,Expense,Food,322.0,Cash,Bengaluru,Paid electricity bill late,1550
U110,2022-12-07,Expense,Travel,238.0,Cash,Hyderabad,Course fee,4558
U106,2022-12-07,Income,Bonus,64743.0,Cash,Jaipur,Grocery shopping,1928
U050,2022-12-07,Expense,Others,188.0,Cash,Ahmedabad,Doctor visit,10518
U177,2022-12-07,Expense,Rent,614.0,Card,Hyderabad,Monthly rent,9442
U050,2022-12-07,Expense,Education,652.0,Cash,Bengaluru,,6159
U028,2022-12-06,Expense,Food,1316.0,Cash,Jaipur,Monthly rent,2087
U017,2022-12-06,Expense,Travel,33.0,UPI,Chennai,Netflix subscription late,9116
U056,2022-12-06,Expense,Rent,774.0,Cash,Hyderabad,Gift cash,13943
U172,2022-12-06,Expense,Others,125.0,Cash,Delhi,Paid electricity bill,2940
U057,2022-12-06,Income,Bonus,62870.0,UPI,Bengaluru,Monthly rent cash,4489
U183,2022-12-06,Expense,Utilities,293.0,Card,Bengaluru,Uber to office,2597
U128,2022-12-06,Expense,Food,200.0,Cash,Kolkata,Course fee,8974
U039,2022-12-06,Expense,Travel,160.0,UPI,Bengaluru,Monthly rent,5685
U167,2022-12-05,Expense,Food,251.0,UPI,Kolkata,Monthly rent,5794
U072,2022-12-05,Income,Bonus,68846.0,Cash,Delhi,Monthly rent,3266
U150,2022-12-05,Expense,Rent,292.0,Bank Transfer,Lucknow,Course fee,7230
U023,2022-12-05,Expense,Rent,210.0,UPI,Pune,Doctor visit,11492
U179,2022-12-05,Expense,Utilities,577.0,UPI,Hyderabad,,2519
U135,2022-12-05,Income,Bonus,41388.0,Bank Transfer,Kolkata,Monthly rent cash,5119
U006,2022-12-05,Expense,Rent,173.0,Bank Transfer,Kolkata,Course fee,3331
U117,2022-12-05,Expense,Rent,404.0,Cash,Lucknow,,323
U094,2022-12-05,Expense,Rent,578.0,Bank Transfer,Lucknow,Uber to office late,13249
U053,2022-12-05,Expense,Rent,232.0,Bank Transfer,Delhi,Paid electricity bill,10903
U057,2022-12-05,Expense,Rent,336.0,Cash,Jaipur,Uber to office late,8198
U182,2022-12-04,Expense,Travel,711.0,Card,Chennai,Monthly rent,10944
U064,2022-12-04,Income,Salary,60303.0,UPI,Lucknow,Netflix subscription late,6773
U074,2022-12-04,Income,Bonus,52599.0,Cash,Ahmedabad,Doctor visit,14037
U049,2022-12-04,Income,Salary,66326.0,UPI,Chennai,Salary,4450
U028,2022-12-04,Expense,Savings,75.0,Bank Transfer,Ahmedabad,Grocery shopping,12091
U028,2022-12-04,Expense,Savings,75.0,Bank Transfer,Ahmedabad,Grocery shopping,9074
U175,2022-12-04,Expense,Utilities,366.0,Cash,Delhi,Netflix subscription,4280
U087,2022-12-04,Expense,Rent,331.0,UPI,Ahmedabad,Monthly rent,1383
U166,2022-12-04,Expense,Food,786.0,Card,Pune,Uber to office cash,3838
U050,2022-12-04,Income,Bonus,87491.0,Cash,Hyderabad,Paid electricity bill,33
U018,2022-12-04,Expense,Education,406.0,UPI,Pune,Salary,9176
U038,2022-12-04,Expense,Travel,392.0,Cash,Jaipur,Gift,7087
U050,2022-12-03,Expense,Utilities,1032.0,UPI,Pune,Gift,9161
U102,2022-12-03,Expense,Food,365.0,UPI,Bengaluru,Paid electricity bill,6803
U160,2022-12-03,Expense,Food,253.0,UPI,Delhi,Grocery shopping,1388
U168,2022-12-03,Expense,Food,371.0,UPI,Hyderabad,Gift,3067
U033,2022-12-03,Expense,Savings,261.0,UPI,Mumbai,,1265
U047,2022-12-03,Income,Other Income,42912.0,Card,Pune,Doctor visit,6536
U165,2022-12-03,Expense,Food,348.0,Card,Lucknow,Grocery shopping,7909
U070,2022-12-03,Expense,Utilities,463.0,UPI,Bengaluru,Netflix subscription,6099
U159,2022-12-03,Income,Bonus,64408.0,Card,Lucknow,Gift,2740
U035,2022-12-03,Expense,Rent,1362.0,Bank Transfer,Delhi,,6157
U166,2022-12-03,Expense,Others,91.0,UPI,Bengaluru,Course fee via app,6646
U139,2022-12-03,Expense,Food,257.0,Bank Transfer,Ahmedabad,Doctor visit,11399
U134,2022-12-02,Expense,Food,3492.0,Card,Hyderabad,Netflix subscription,9089
U057,2022-12-02,Expense,Food,551.0,UPI,Ahmedabad,Doctor visit,5823
U137,2022-12-02,Expense,Food,1206.0,Card,Chennai,Salary,6377
U023,2022-12-02,Expense,Travel,2137.0,Bank Transfer,Delhi,Doctor visit,3638
U042,2022-12-02,Expense,Food,269.0,UPI,Ahmedabad,,1126
U026,2022-12-01,Expense,Rent,218.0,UPI,Hyderabad,Paid electricity bill,1303
U163,2022-12-01,Expense,Travel,811.0,UPI,Hyderabad,Salary,11358
U136,2022-12-01,Expense,Food,6100.0,Bank Transfer,Mumbai,Dinner at resto,4551
U115,2022-12-01,Expense,Education,2189.0,Cash,Bengaluru,Grocery shopping,9703
U067,2022-12-01,Expense,Food,3171.0,UPI,Bengaluru,Uber to office late,5965
U153,2022-12-01,Expense,Food,153.0,Card,Ahmedabad,Gift late,6251
U091,2022-12-01,Expense,Entertainment,606.0,Cash,Jaipur,Grocery shopping late,7257
U124,2022-12-01,Income,Bonus,59435.0,UPI,Kolkata,Uber to office cash,7064
U078,2022-12-01,Expense,Entertainment,749.0,UPI,Ahmedabad,,10356
U057,2022-12-01,Expense,Travel,146.0,Card,Chennai,Monthly rent,11998
U039,2022-12-01,Income,Bonus,80996.0,UPI,Ahmedabad,,14762
U001,2022-11-30,Expense,Utilities,102.0,Cash,Lucknow,Monthly rent,5211
U148,2022-11-30,Expense,Travel,1839.0,Card,Pune,Salary cash,13891
U069,2022-11-30,Expense,Others,1371.0,Card,Mumbai,Salary,4594
U162,2022-11-30,Expense,Food,64.0,Card,Pune,Monthly rent,829
U084,2022-11-30,Income,Bonus,54536.0,Card,Lucknow,Gift late,14857
U015,2022-11-30,Expense,Rent,359.0,Card,Bengaluru,,2947
U059,2022-11-30,Expense,Rent,579.0,Bank Transfer,Bengaluru,Doctor visit cash,11059
U025,2022-11-30,Expense,Travel,999999.0,Card,Delhi,Course fee,1895
U186,2022-11-30,Expense,Rent,25.0,Cash,Hyderabad,Dinner at resto via app,1743
U003,2022-11-30,Expense,Rent,359.0,Bank Transfer,Hyderabad,Doctor visit,10273
U022,2022-11-29,Expense,Rent,385.0,UPI,Bengaluru,Paid electricity bill cash,10034
U050,2022-11-29,Expense,Utilities,3608.0,Card,Hyderabad,Paid electricity bill,7619
U101,2022-11-29,Income,Bonus,81487.0,Bank Transfer,Jaipur,Salary,4917
U171,2022-11-29,Expense,Entertainment,18.0,Bank Transfer,Ahmedabad,Paid electricity bill cash,9272
U026,2022-11-29,Expense,Travel,100.0,Card,Kolkata,,12478
U032,2022-11-29,Expense,Rent,673.0,Card,Jaipur,Course fee,424
U062,2022-11-29,Expense,Rent,1019.0,Card,Pune,Grocery shopping,6310
U012,2022-11-29,Expense,Food,414.0,UPI,Mumbai,Salary,8506
U088,2022-11-29,Expense,Rent,2202.0,UPI,Hyderabad,,10573
U089,2022-11-29,Expense,Utilities,240.0,Card,Bengaluru,Paid electricity bill,4395
U123,2022-11-29,Expense,Food,456.0,UPI,Chennai,Uber to office,5266
U152,2022-11-29,Expense,Travel,191.0,Card,Kolkata,Course fee,3543
U183,2022-11-29,Expense,Health,155.0,Card,Ahmedabad,Salary,1452
U010,2022-11-28,Expense,Rent,29.0,Cash,Bengaluru,Salary,10712
U040,2022-11-28,Expense,Rent,512.0,Bank Transfer,Hyderabad,Gift,11204
U149,2022-11-28,Expense,Food,774.0,UPI,Lucknow,Dinner at resto,1676
U029,2022-11-28,Expense,Education,181.0,Cash,Chennai,Netflix subscription,10968
U176,2022-11-28,Expense,Food,58.0,Card,Bengaluru,Uber to office,10213
U027,2022-11-28,Expense,Food,112.0,UPI,Mumbai,,11078
U161,2022-11-28,Expense,Food,1325.0,UPI,Ahmedabad,Dinner at resto,2224
U052,2022-11-28,Expense,Travel,506.0,Bank Transfer,Chennai,Salary,7720
U122,2022-11-28,Income,Other Income,48139.0,Cash,Delhi,Course fee,7327
U070,2022-11-28,Expense,Rent,127.0,Bank Transfer,Mumbai,,12314
U170,2022-11-28,Expense,Education,352.0,Card,Lucknow,Netflix subscription via app,13402
U086,2022-11-28,Expense,Travel,1668.0,UPI,Lucknow,Grocery shopping,13821
U073,2022-11-28,Income,Other Income,76898.0,Card,Chennai,Grocery shopping,4261
U077,2022-11-28,Expense,Rent,54.0,UPI,Pune,Gift,5835
U101,2022-11-28,Income,Salary,46797.0,Bank Transfer,Delhi,Monthly rent,1401
U081,2022-11-27,Expense,Travel,73.0,UPI,Pune,Monthly rent,12575
U039,2022-11-27,Expense,Food,1471.0,Cash,Hyderabad,Paid electricity bill,5841
U116,2022-11-27,Expense,Rent,1729.0,Card,Ahmedabad,Paid electricity bill,3700
U155,2022-11-27,Income,Other Income,76761.0,Cash,Chennai,,13232
U189,2022-11-27,Expense,Utilities,746.0,Bank Transfer,Ahmedabad,Dinner at resto,13030
U184,2022-11-27,Expense,Food,341.0,UPI,Ahmedabad,Monthly rent,10237
U080,2022-11-27,Income,Other Income,72315.0,UPI,Chennai,Doctor visit,9503
U127,2022-11-27,Expense,Others,70.0,Card,Ahmedabad,Gift,8318
U043,2022-11-27,Income,Bonus,55816.0,Bank Transfer,Ahmedabad,Dinner at resto late,6163
U105,2022-11-26,Income,Salary,66880.0,Card,Kolkata,,4930
U134,2022-11-26,Expense,Entertainment,16852.0,Cash,Ahmedabad,Doctor visit,305
U026,2022-11-26,Expense,Food,393.0,Cash,Delhi,Uber to office,1175
U028,2022-11-26,Expense,Utilities,306.0,Card,Kolkata,Netflix subscription,10243
U041,2022-11-26,Expense,Food,605.0,Bank Transfer,Chennai,Salary,3047
U057,2022-11-25,Expense,Rent,1693.0,UPI,Jaipur,Course fee cash,1776
U076,2022-11-25,Expense,Education,1069.0,Bank Transfer,Pune,Grocery shopping,9003
U049,2022-11-25,Expense,Utilities,343.0,Cash,Lucknow,Course fee,9375
U026,2022-11-25,Expense,Rent,516.0,Bank Transfer,Ahmedabad,Dinner at resto,13181
U008,2022-11-25,Expense,Rent,366.0,Bank Transfer,Pune,Uber to office via app,6691
U044,2022-11-25,Income,Salary,77761.0,Cash,Chennai,Grocery shopping,4018
